Country Code,Country Name,Male Female Ratio,No Of Men Partcp,No Of Players Partcp,No Of Players Won,No Of Plyers Lost,No Of Women Partcp,Number of Records,Olympic Id,Olympic Year,Total Bronze Medals,Total Gold Medals,Total No Of Medals,Total Silver Medals
POR,Portugal,,1,1,0,1,0,1,O1,2008,0,0,0,0
TUR,Turkey,,1,1,0,1,0,1,O1,2008,0,0,0,0
TUR,Turkey,,1,1,0,1,0,1,O3,2012,0,0,0,0
ALB,Albania,,1,1,0,1,0,1,O1,2008,0,0,0,0
MEX,Mexico,,0,1,0,1,1,1,O5,2016,0,0,0,0
KEN,Kenya,,0,1,0,1,1,1,O3,2012,0,0,0,0
BRA,Brazil,,0,1,0,1,1,1,O5,2016,0,0,0,0
ITA,Italy,,1,1,0,1,0,1,O1,2008,0,0,0,0
BRA,Brazil,,2,2,0,2,0,1,O5,2016,0,0,0,0
BRA,Brazil,,1,1,0,1,0,1,O4,2014,0,0,0,0
MOZ,Mozambique,,1,1,0,1,0,1,O1,2008,0,0,0,0
BRA,Brazil,,1,1,0,1,0,1,O4,2014,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
COL,Colombia,,1,1,0,1,0,1,O3,2012,0,0,0,0
VEN,Venezuela,,1,1,0,1,0,1,O1,2008,0,0,0,0
VEN,Venezuela,,1,1,0,1,0,1,O3,2012,0,0,0,0
ESP,Spain,,1,1,1,0,0,1,O1,2008,0,0,1,1
ESP,Spain,,1,1,0,1,0,1,O3,2012,0,0,0,0
ESP,Spain,,1,1,1,0,0,1,O1,2008,0,0,1,1
ARM,Armenia,,1,1,0,1,0,1,O1,2008,0,0,0,0
VEN,Venezuela,,1,1,0,1,0,1,O1,2008,0,0,0,0
ROU,Romania,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
BRA,Brazil,,1,1,0,1,0,1,O5,2016,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O3,2012,0,0,0,0
BRA,Brazil,,0,1,0,1,1,1,O1,2008,0,0,0,0
BRA,Brazil,,0,1,0,1,1,1,O3,2012,0,0,0,0
BRA,Brazil,,0,1,0,1,1,1,O5,2016,0,0,0,0
,,,3,3,0,3,0,1,O4,2014,0,0,0,0
,,,1,1,1,0,0,1,O4,2014,0,0,1,1
BRA,Brazil,,1,1,0,1,0,1,O1,2008,0,0,0,0
ARG,Argentina,,1,1,0,1,0,1,O1,2008,0,0,0,0
ANG,Angola,,1,1,0,1,0,1,O1,2008,0,0,0,0
ECU,Ecuador,,1,1,0,1,0,1,O1,2008,0,0,0,0
ARG,Argentina,,1,1,0,1,0,1,O1,2008,0,0,0,0
ESP,Spain,,1,1,0,1,0,1,O3,2012,0,0,0,0
ESP,Spain,,1,1,0,1,0,1,O5,2016,0,0,0,0
DOM,Dominican,,1,1,0,1,0,1,O5,2016,0,0,0,0
BRA,Brazil,,2,2,0,2,0,1,O5,2016,0,0,0,0
CUB,Cuba,,1,1,1,0,0,1,O1,2008,0,0,1,1
CUB,Cuba,,1,1,0,1,0,1,O5,2016,0,0,0,0
BRA,Brazil,,1,1,0,1,0,1,O1,2008,0,0,0,0
ARG,Argentina,,1,1,0,1,0,1,O3,2012,0,0,0,0
ARG,Argentina,,2,2,0,2,0,1,O5,2016,0,0,0,0
ESP,Spain,,2,2,0,2,0,1,O5,2016,0,0,0,0
LAT,Latvia,,1,1,0,1,0,1,O3,2012,0,0,0,0
LAT,Latvia,,1,1,0,1,0,1,O5,2016,0,0,0,0
NOR,Norway,,1,1,0,1,0,1,O1,2008,0,0,0,0
NOR,Norway,,2,2,0,2,0,1,O3,2012,0,0,0,0
NOR,Norway,,2,2,0,2,0,1,O5,2016,0,0,0,0
LTU,Lithuania,,1,1,0,1,0,1,O1,2008,0,0,0,0
LTU,Lithuania,,1,1,1,0,0,1,O1,2008,0,0,1,1
LTU,Lithuania,,1,1,1,0,0,1,O5,2016,1,0,1,0
,,,1,1,1,0,0,1,O3,2012,0,1,1,0
,,,1,1,1,0,0,1,O3,2012,1,0,1,0
,,,1,1,1,0,0,1,O1,2008,0,1,1,0
,,,1,1,1,0,0,1,O3,2012,0,1,1,0
,,,1,1,1,0,0,1,O5,2016,0,1,1,0
AUS,Australia,,1,1,0,1,0,1,O3,2012,0,0,0,0
AUS,Australia,,1,1,0,1,0,1,O5,2016,0,0,0,0
AUS,Australia,,1,1,1,0,0,1,O1,2008,1,0,1,0
AUS,Australia,,1,1,1,0,0,1,O3,2012,1,0,1,0
AUS,Australia,,1,1,0,1,0,1,O5,2016,0,0,0,0
CHI,Chile,,1,1,0,1,0,1,O3,2012,0,0,0,0
CHI,Chile,,1,1,0,1,0,1,O5,2016,0,0,0,0
NZL,New Zealan,,2,2,0,2,0,1,O3,2012,0,0,0,0
NZL,New Zealan,,2,2,0,2,0,1,O5,2016,0,0,0,0
NZL,New Zealan,,1,1,1,0,0,1,O5,2016,0,0,1,1
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,4,4,0,4,0,1,O2,2010,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
AUS,Australia,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,1,0,0,1,O5,2016,1,0,1,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
ITA,Italy,,0,1,0,1,1,1,O3,2012,0,0,0,0
ITA,Italy,,0,1,0,1,1,1,O5,2016,0,0,0,0
FRA,France,,0,1,1,0,1,1,O3,2012,0,0,1,1
COL,Colombia,,1,1,0,1,0,1,O3,2012,0,0,0,0
KEN,Kenya,,1,1,1,0,0,1,O1,2008,1,0,1,0
KEN,Kenya,,1,1,0,1,0,1,O3,2012,0,0,0,0
UGA,Uganda,,1,1,0,1,0,1,O1,2008,0,0,0,0
UGA,Uganda,,1,1,0,1,0,1,O3,2012,0,0,0,0
NED,Netherland,,1,1,1,0,0,1,O3,2012,1,0,1,0
NED,Netherland,,1,1,0,1,0,1,O3,2012,0,0,0,0
NED,Netherland,,2,2,0,2,0,1,O5,2016,0,0,0,0
COL,Colombia,,1,1,0,1,0,1,O1,2008,0,0,0,0
COL,Colombia,,1,1,0,1,0,1,O5,2016,0,0,0,0
AUS,Australia,,0,1,0,1,1,1,O5,2016,0,0,0,0
AUS,Australia,,0,2,0,2,2,1,O1,2008,0,0,0,0
AUS,Australia,,0,2,0,2,2,1,O3,2012,0,0,0,0
AUS,Australia,,0,2,0,2,2,1,O5,2016,0,0,0,0
POL,Poland,,0,1,0,1,1,1,O1,2008,0,0,0,0
POL,Poland,,0,1,0,1,1,1,O5,2016,0,0,0,0
POL,Poland,,0,1,0,1,1,1,O5,2016,0,0,0,0
NED,Netherland,,0,1,0,1,1,1,O5,2016,0,0,0,0
NED,Netherland,,0,1,1,0,1,1,O1,2008,0,1,1,0
NED,Netherland,,1,1,0,1,0,1,O3,2012,0,0,0,0
NED,Netherland,,1,1,0,1,0,1,O5,2016,0,0,0,0
FIN,Finland,,2,2,0,2,0,1,O4,2014,0,0,0,0
NGR,Nigeria,,1,1,0,1,0,1,O5,2016,0,0,0,0
NGR,Nigeria,,1,1,1,0,0,1,O1,2008,0,0,1,1
NGR,Nigeria,,0,1,0,1,1,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,0,1,0,1,1,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
,,,0,1,0,1,1,1,O1,2008,0,0,0,0
LTU,Lithuania,,1,1,0,1,0,1,O1,2008,0,0,0,0
LTU,Lithuania,,1,1,0,1,0,1,O3,2012,0,0,0,0
LTU,Lithuania,,1,1,0,1,0,1,O1,2008,0,0,0,0
LTU,Lithuania,,1,1,0,1,0,1,O3,2012,0,0,0,0
URU,Uruguay,,1,1,0,1,0,1,O3,2012,0,0,0,0
LTU,Lithuania,,0,1,0,1,1,1,O1,2008,0,0,0,0
LTU,Lithuania,,0,1,0,1,1,1,O5,2016,0,0,0,0
LTU,Lithuania,,0,1,0,1,1,1,O3,2012,0,0,0,0
CUB,Cuba,,0,1,1,0,1,1,O1,2008,1,0,1,0
CUB,Cuba,,0,1,0,1,1,1,O1,2008,0,0,0,0
CUB,Cuba,,0,2,0,2,2,1,O3,2012,0,0,0,0
CUB,Cuba,,0,2,0,2,2,1,O5,2016,0,0,0,0
IRI,Iran,,1,1,0,1,0,1,O1,2008,0,0,0,0
IRI,Iran,,1,1,0,1,0,1,O5,2016,0,0,0,0
IRI,Iran,,1,1,1,0,0,1,O3,2012,0,0,1,1
IRI,Iran,,1,1,1,0,0,1,O3,2012,1,0,1,0
IRI,Iran,,1,1,0,1,0,1,O1,2008,0,0,0,0
IRI,Iran,,1,1,0,1,0,1,O3,2012,0,0,0,0
IRI,Iran,,1,1,0,1,0,1,O5,2016,0,0,0,0
NED,Netherland,,0,1,0,1,1,1,O2,2010,0,0,0,0
CUB,Cuba,,1,1,0,1,0,1,O1,2008,0,0,0,0
URU,Uruguay,,0,1,0,1,1,1,O3,2012,0,0,0,0
URU,Uruguay,,0,1,0,1,1,1,O5,2016,0,0,0,0
,,,0,1,0,1,1,1,O3,2012,0,0,0,0
,,,0,1,0,1,1,1,O5,2016,0,0,0,0
,,,0,1,1,0,1,1,O3,2012,1,0,1,0
,,,0,1,1,0,1,1,O3,2012,0,1,1,0
,,,0,1,0,1,1,1,O1,2008,0,0,0,0
,,,0,1,0,1,1,1,O5,2016,0,0,0,0
,,,0,1,1,0,1,1,O1,2008,0,1,1,0
,,,1,1,1,0,0,1,O5,2016,0,1,1,0
,,,1,1,1,0,0,1,O5,2016,0,1,1,0
,,,0,1,0,1,1,1,O5,2016,0,0,0,0
SLO,Slovenia,,1,1,0,1,0,1,O5,2016,0,0,0,0
NZL,New Zealan,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
NZL,New Zealan,,1,1,0,1,0,1,O1,2008,0,0,0,0
NZL,New Zealan,,1,1,0,1,0,1,O3,2012,0,0,0,0
AUS,Australia,,0,2,0,2,2,1,O4,2014,0,0,0,0
CAN,Canada,,0,1,1,0,1,1,O5,2016,1,0,1,0
NZL,New Zealan,,0,1,0,1,1,1,O1,2008,0,0,0,0
NED,Netherland,,0,1,0,1,1,1,O5,2016,0,0,0,0
,,,0,1,0,1,1,1,O5,2016,0,0,0,0
ITA,Italy,,0,2,0,2,2,1,O4,2014,0,0,0,0
PUR,Puerto Ric,,0,1,0,1,1,1,O5,2016,0,0,0,0
MEX,Mexico,,0,1,0,1,1,1,O3,2012,0,0,0,0
,,,0,1,0,1,1,1,O1,2008,0,0,0,0
,,,0,1,0,1,1,1,O3,2012,0,0,0,0
BAH,Bahamas,,0,2,0,2,2,1,O1,2008,0,0,0,0
BAH,Bahamas,,0,2,0,2,2,1,O3,2012,0,0,0,0
,,,0,1,0,1,1,1,O2,2010,0,0,0,0
,,,0,1,0,1,1,1,O4,2014,0,0,0,0
,,,0,2,0,2,2,1,O1,2008,0,0,0,0
AUS,Australia,,0,1,0,1,1,1,O1,2008,0,0,0,0
ITA,Italy,,0,1,0,1,1,1,O1,2008,0,0,0,0
AUS,Australia,,0,1,0,1,1,1,O5,2016,0,0,0,0
,,,0,1,0,1,1,1,O3,2012,0,0,0,0
,,,0,1,1,0,1,1,O1,2008,0,0,1,1
ITA,Italy,,0,1,0,1,1,1,O2,2010,0,0,0,0
ITA,Italy,,0,1,0,1,1,1,O4,2014,0,0,0,0
,,,0,1,0,1,1,1,O1,2008,0,0,0,0
,,,0,1,0,1,1,1,O3,2012,0,0,0,0
,,,0,1,0,1,1,1,O5,2016,0,0,0,0
GUI,Guinea,,0,1,0,1,1,1,O3,2012,0,0,0,0
INA,Indonesia,,0,1,0,1,1,1,O1,2008,0,0,0,0
,,,0,1,0,1,1,1,O1,2008,0,0,0,0
IND,India,,0,1,0,1,1,1,O5,2016,0,0,0,0
NEP,Nepal,,1,1,0,1,0,1,O1,2008,0,0,0,0
IND,India,,0,2,0,2,2,1,O3,2012,0,0,0,0
IND,India,,0,2,0,2,2,1,O5,2016,0,0,0,0
IND,India,,0,1,0,1,1,1,O5,2016,0,0,0,0
IRL,Ireland,,0,1,0,1,1,1,O3,2012,0,0,0,0
COL,Colombia,,1,1,0,1,0,1,O5,2016,0,0,0,0
LTU,Lithuania,,1,1,0,1,0,1,O5,2016,0,0,0,0
LTU,Lithuania,,1,1,0,1,0,1,O4,2014,0,0,0,0
COL,Colombia,,1,1,0,1,0,1,O5,2016,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,2,2,0,2,0,1,O5,2016,0,0,0,0
,,,1,1,1,0,0,1,O1,2008,1,0,1,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
ETH,Ethiopia,,1,1,0,1,0,1,O5,2016,0,0,0,0
ETH,Ethiopia,,1,1,1,0,0,1,O3,2012,0,0,1,1
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
ARG,Argentina,,0,1,0,1,1,1,O5,2016,0,0,0,0
ARG,Argentina,,0,1,1,0,1,1,O3,2012,0,0,1,1
ISR,Israel,,0,1,0,1,1,1,O1,2008,0,0,0,0
JAM,Jamaica,,0,1,0,1,1,1,O1,2008,0,0,0,0
AUS,Australia,,0,1,0,1,1,1,O1,2008,0,0,0,0
BRA,Brazil,,0,1,1,0,1,1,O1,2008,0,0,1,1
CMR,Cameroon,,0,1,0,1,1,1,O3,2012,0,0,0,0
FRA,France,,0,1,1,0,1,1,O3,2012,1,0,1,0
FRA,France,,0,1,0,1,1,1,O1,2008,0,0,0,0
FRA,France,,0,1,0,1,1,1,O5,2016,0,0,0,0
FRA,France,,0,1,0,1,1,1,O3,2012,0,0,0,0
COL,Colombia,,1,1,0,1,0,1,O1,2008,0,0,0,0
ESP,Spain,,1,1,1,0,0,1,O1,2008,1,0,1,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
BAH,Bahamas,,1,1,1,0,0,1,O3,2012,0,1,1,0
BAH,Bahamas,,1,1,0,1,0,1,O3,2012,0,0,0,0
BAH,Bahamas,,1,1,0,1,0,1,O5,2016,0,0,0,0
ARG,Argentina,,1,1,0,1,0,1,O5,2016,0,0,0,0
TUR,Turkey,,1,1,0,1,0,1,O1,2008,0,0,0,0
MEX,Mexico,,0,1,0,1,1,1,O1,2008,0,0,0,0
MEX,Mexico,,0,1,0,1,1,1,O5,2016,0,0,0,0
ETH,Ethiopia,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,0,1,1,0,1,1,O1,2008,0,1,1,0
,,,0,1,1,0,1,1,O3,2012,0,1,1,0
,,,0,4,0,4,4,1,O1,2008,0,0,0,0
,,,0,4,0,4,4,1,O3,2012,0,0,0,0
,,,0,1,0,1,1,1,O3,2012,0,0,0,0
,,,1,1,1,0,0,1,O5,2016,1,0,1,0
,,,6,6,0,6,0,1,O5,2016,0,0,0,0
,,,0,1,1,0,1,1,O5,2016,0,1,1,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
INA,Indonesia,,1,1,0,1,0,1,O3,2012,0,0,0,0
INA,Indonesia,,1,1,0,1,0,1,O5,2016,0,0,0,0
ITA,Italy,,1,1,1,0,0,1,O3,2012,0,0,1,1
CUB,Cuba,,0,1,1,0,1,1,O5,2016,1,0,1,0
CUB,Cuba,,0,1,0,1,1,1,O3,2012,0,0,0,0
COM,Comoros,,0,1,0,1,1,1,O5,2016,0,0,0,0
BRA,Brazil,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,3,3,0,3,0,1,O2,2010,0,0,0,0
,,,3,3,0,3,0,1,O4,2014,0,0,0,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O1,2008,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O3,2012,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O5,2016,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O4,2014,0,0,0,0
KAZ,Kazakhstan,,2,2,0,2,0,1,O4,2014,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
CRO,Croatia,,1,1,1,0,0,1,O3,2012,1,0,1,0
ARM,Armenia,,1,1,0,1,0,1,O1,2008,0,0,0,0
FRA,France,,1,1,1,0,0,1,O5,2016,0,1,1,0
,,,1,1,1,0,0,1,O1,2008,1,0,1,0
SUI,Switzerlan,,1,1,0,1,0,1,O4,2014,0,0,0,0
,,,1,1,1,0,0,1,O3,2012,1,0,1,0
,,,4,4,0,4,0,1,O4,2014,0,0,0,0
,,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
IRL,Ireland,,1,1,0,1,0,1,O1,2008,0,0,0,0
,,,1,1,1,0,0,1,O5,2016,1,0,1,0
FRA,France,,2,2,0,2,0,1,O3,2012,0,0,0,0
,,,1,1,1,0,0,1,O3,2012,1,0,1,0
,,,1,1,1,0,0,1,O5,2016,1,0,1,0
,,,4,4,0,4,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
,,,1,1,1,0,0,1,O3,2012,0,0,1,1
,,,2,2,2,0,0,1,O5,2016,0,0,2,2
SVK,Slovakia,,1,1,1,0,0,1,O5,2016,0,0,1,1
,,,1,1,0,1,0,1,O2,2010,0,0,0,0
,,,2,2,0,2,0,1,O1,2008,0,0,0,0
,,,2,2,0,2,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O3,2012,0,0,0,0
UZB,Uzbekistan,,1,1,0,1,0,1,O3,2012,0,0,0,0
UZB,Uzbekistan,,1,1,0,1,0,1,O5,2016,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O4,2014,0,0,0,0
KAZ,Kazakhstan,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O2,2010,0,0,0,0
,,,2,2,0,2,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,1,1,1,0,0,1,O5,2016,1,0,1,0
,,,3,3,0,3,0,1,O1,2008,0,0,0,0
,,,2,2,0,2,0,1,O3,2012,0,0,0,0
,,,1,1,0,1,0,1,O5,2016,0,0,0,0
,,,1,1,0,1,0,1,O2,2010,0,0,0,0
KAZ,Kazakhstan,,1,1,1,0,0,1,O5,2016,1,0,1,0
KAZ,Kazakhstan,,2,2,0,2,0,1,O2,2010,0,0,0,0
KAZ,Kazakhstan,,2,2,0,2,0,1,O4,2014,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O1,2008,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O3,2012,0,0,0,0
BLR,Belarus,,1,1,0,1,0,1,O5,2016,0,0,0,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
BLR,Belarus,,7,7,0,7,0,1,O1,2008,0,0,0,0
KAZ,Kazakhstan,,2,2,0,2,0,1,O4,2014,0,0,0,0
KGZ,Kyrgyzstan,,1,1,0,1,0,1,O5,2016,0,0,0,0
KAZ,Kazakhstan,,1,1,1,0,0,1,O4,2014,1,0,1,0
KAZ,Kazakhstan,,1,1,0,1,0,1,O2,2010,0,0,0,0
,,,1,1,1,0,0,1,O1,2008,1,0,1,0
MNE,Montenegro,,1,1,0,1,0,1,O3,2012,0,0,0,0
,,,2,2,0,2,0,1,O1,2008,0,0,0,0
,,,1,1,0,1,0,1,O3,2012,0,0,0,0
SVK,Slovakia,,0,1,0,1,1,1,O1,2008,0,0,0,0
SVK,Slovakia,,0,2,0,2,2,1,O3,2012,0,0,0,0
,,,0,2,0,2,2,1,O1,2008,0,0,0,0
,,,0,2,0,2,2,1,O3,2012,0,0,0,0
,,,0,1,0,1,1,1,O5,2016,0,0,0,0
SUI,Switzerlan,,0,2,0,2,2,1,O4,2014,0,0,0,0
,,,0,1,1,0,1,1,O4,2014,1,0,1,0
,,,0,2,0,2,2,1,O4,2014,0,0,0,0
,,,0,1,0,1,1,1,O1,2008,0,0,0,0
DEN,Denmark,,0,1,0,1,1,1,O2,2010,0,0,0,0
ITA,Italy,,0,2,0,2,2,1,O2,2010,0,0,0,0
ITA,Italy,,0,1,0,1,1,1,O4,2014,0,0,0,0
,,,0,1,0,1,1,1,O5,2016,0,0,0,0
CAN,Canada,,0,2,0,2,2,1,O3,2012,0,0,0,0
,,,0,1,0,1,1,1,O4,2014,0,0,0,0
EST,Estonia,,1,1,0,1,0,1,O1,2008,0,0,0,0
EST,Estonia,,1,1,0,1,0,1,O3,2012,0,0,0,0
EST,Estonia,,1,1,0,1,0,1,O5,2016,0,0,0,0
